size,optimized,unoptimized
50000,5.48598408699,5.84079504013
50000,5.48598408699,5.8321518898
50000,5.48598408699,5.8565530777
50000,5.48598408699,5.83823895454
50000,5.48598408699,5.8397591114
150000,49.0188310146,53.637059927
150000,49.0188310146,53.6538848877
150000,49.0188310146,53.677793026
150000,49.0188310146,53.6911821365
150000,49.0188310146,53.752120018
200000,87.2889130116,95.4659459591
200000,87.2889130116,95.6092150211
200000,87.2889130116,95.5773580074
200000,87.2889130116,95.5245041847
200000,87.2889130116,95.5717689991
150000,49.0826618671,53.637059927
150000,49.0826618671,53.6538848877
150000,49.0826618671,53.677793026
150000,49.0826618671,53.6911821365
150000,49.0826618671,53.752120018
250000,136.157565832,149.400009871
250000,136.157565832,149.513126135
250000,136.157565832,149.518409967
250000,136.157565832,149.337968826
250000,136.157565832,149.313779116
250000,136.157565832,148.172077179
250000,136.157565832,147.891582012
250000,136.157565832,148.228101015
250000,136.157565832,148.530170202
250000,136.157565832,148.005124092
100000,21.8737590313,23.7918300629
100000,21.8737590313,23.8207681179
100000,21.8737590313,23.8272027969
100000,21.8737590313,23.7958960533
100000,21.8737590313,23.8305737972
250000,136.112895012,149.400009871
250000,136.112895012,149.513126135
250000,136.112895012,149.518409967
250000,136.112895012,149.337968826
250000,136.112895012,149.313779116
250000,136.112895012,148.172077179
250000,136.112895012,147.891582012
250000,136.112895012,148.228101015
250000,136.112895012,148.530170202
250000,136.112895012,148.005124092
250000,136.111291885,149.400009871
250000,136.111291885,149.513126135
250000,136.111291885,149.518409967
250000,136.111291885,149.337968826
250000,136.111291885,149.313779116
250000,136.111291885,148.172077179
250000,136.111291885,147.891582012
250000,136.111291885,148.228101015
250000,136.111291885,148.530170202
250000,136.111291885,148.005124092
250000,136.100324869,149.400009871
250000,136.100324869,149.513126135
250000,136.100324869,149.518409967
250000,136.100324869,149.337968826
250000,136.100324869,149.313779116
250000,136.100324869,148.172077179
250000,136.100324869,147.891582012
250000,136.100324869,148.228101015
250000,136.100324869,148.530170202
