size,optimized,unoptimized
4000000,14.7826170921,17.595083952
4000000,14.7826170921,17.592359066
4000000,14.7826170921,17.5848500729
4000000,14.7826170921,17.5799639225
4000000,14.7826170921,17.6126708984
1000000,1.92875504494,2.28249192238
1000000,1.92875504494,2.28015089035
1000000,1.92875504494,2.28330779076
1000000,1.92875504494,2.2885620594
1000000,1.92875504494,2.29252386093
2000000,5.32513689995,6.32337188721
2000000,5.32513689995,6.3335211277
2000000,5.32513689995,6.31593179703
2000000,5.32513689995,6.32827997208
2000000,5.32513689995,6.32609605789
2000000,5.32792878151,6.32337188721
2000000,5.32792878151,6.3335211277
2000000,5.32792878151,6.31593179703
2000000,5.32792878151,6.32827997208
2000000,5.32792878151,6.32609605789
5000000,20.4914619923,24.4227600098
5000000,20.4914619923,24.4626848698
5000000,20.4914619923,24.4260799885
5000000,20.4914619923,24.4293298721
5000000,20.4914619923,24.434787035
5000000,20.4914619923,24.2140200138
5000000,20.4914619923,24.2224981785
5000000,20.4914619923,24.2183699608
5000000,20.4914619923,24.2382440567
5000000,20.4914619923,24.2660310268
4000000,14.8634591103,17.595083952
4000000,14.8634591103,17.592359066
4000000,14.8634591103,17.5848500729
4000000,14.8634591103,17.5799639225
4000000,14.8634591103,17.6126708984
4000000,14.7813200951,17.595083952
4000000,14.7813200951,17.592359066
4000000,14.7813200951,17.5848500729
4000000,14.7813200951,17.5799639225
4000000,14.7813200951,17.6126708984
4000000,14.7255020142,17.595083952
4000000,14.7255020142,17.592359066
4000000,14.7255020142,17.5848500729
4000000,14.7255020142,17.5799639225
4000000,14.7255020142,17.6126708984
1000000,1.93365097046,2.28249192238
1000000,1.93365097046,2.28015089035
1000000,1.93365097046,2.28330779076
1000000,1.93365097046,2.2885620594
1000000,1.93365097046,2.29252386093
3000000,9.66210913658,11.495565176
3000000,9.66210913658,11.4840371609
3000000,9.66210913658,11.4691741467
3000000,9.66210913658,11.4974739552
3000000,9.66210913658,11.4896178246
1000000,1.92928099632,2.28249192238
1000000,1.92928099632,2.28015089035
1000000,1.92928099632,2.28330779076
1000000,1.92928099632,2.2885620594
1000000,1.92928099632,2.29252386093
5000000,20.5204081535,24.4227600098
5000000,20.5204081535,24.4626848698
5000000,20.5204081535,24.4260799885
5000000,20.5204081535,24.4293298721
5000000,20.5204081535,24.434787035
5000000,20.5204081535,24.2140200138
5000000,20.5204081535,24.2224981785
5000000,20.5204081535,24.2183699608
5000000,20.5204081535,24.2382440567
5000000,20.5204081535,24.2660310268
3000000,9.64868307114,11.495565176
3000000,9.64868307114,11.4840371609
3000000,9.64868307114,11.4691741467
3000000,9.64868307114,11.4974739552
3000000,9.64868307114,11.4896178246
5000000,20.4812448025,24.4227600098
5000000,20.4812448025,24.4626848698
5000000,20.4812448025,24.4260799885
5000000,20.4812448025,24.4293298721
5000000,20.4812448025,24.434787035
5000000,20.4812448025,24.2140200138
5000000,20.4812448025,24.2224981785
5000000,20.4812448025,24.2183699608
5000000,20.4812448025,24.2382440567
5000000,20.4812448025,24.2660310268
2000000,5.32800602913,6.32337188721
2000000,5.32800602913,6.3335211277
2000000,5.32800602913,6.31593179703
2000000,5.32800602913,6.32827997208
2000000,5.32800602913,6.32609605789
1000000,1.93148183823,2.28249192238
1000000,1.93148183823,2.28015089035
1000000,1.93148183823,2.28330779076
1000000,1.93148183823,2.2885620594
1000000,1.93148183823,2.29252386093
2000000,5.32841491699,6.32337188721
2000000,5.32841491699,6.3335211277
2000000,5.32841491699,6.31593179703
2000000,5.32841491699,6.32827997208
2000000,5.32841491699,6.32609605789
3000000,9.65312409401,11.495565176
3000000,9.65312409401,11.4840371609
3000000,9.65312409401,11.4691741467
3000000,9.65312409401,11.4974739552
3000000,9.65312409401,11.4896178246
3000000,9.65179204941,11.495565176
3000000,9.65179204941,11.4840371609
3000000,9.65179204941,11.4691741467
3000000,9.65179204941,11.4974739552
3000000,9.65179204941,11.4896178246
2000000,5.32207322121,6.32337188721
2000000,5.32207322121,6.3335211277
2000000,5.32207322121,6.31593179703
2000000,5.32207322121,6.32827997208
2000000,5.32207322121,6.32609605789
5000000,20.5020639896,24.4227600098
5000000,20.5020639896,24.4626848698
5000000,20.5020639896,24.4260799885
5000000,20.5020639896,24.4293298721
5000000,20.5020639896,24.434787035
5000000,20.5020639896,24.2140200138
5000000,20.5020639896,24.2224981785
5000000,20.5020639896,24.2183699608
5000000,20.5020639896,24.2382440567
5000000,20.5020639896,24.2660310268
4000000,14.8012800217,17.595083952
4000000,14.8012800217,17.592359066
4000000,14.8012800217,17.5848500729
4000000,14.8012800217,17.5799639225
4000000,14.8012800217,17.6126708984
1000000,1.93955397606,2.28249192238
1000000,1.93955397606,2.28015089035
1000000,1.93955397606,2.28330779076
1000000,1.93955397606,2.2885620594
1000000,1.93955397606,2.29252386093
5000000,20.4962828159,24.4227600098
5000000,20.4962828159,24.4626848698
5000000,20.4962828159,24.4260799885
5000000,20.4962828159,24.4293298721
5000000,20.4962828159,24.434787035
5000000,20.4962828159,24.2140200138
5000000,20.4962828159,24.2224981785
5000000,20.4962828159,24.2183699608
5000000,20.4962828159,24.2382440567
5000000,20.4962828159,24.2660310268
3000000,9.66851401329,11.495565176
3000000,9.66851401329,11.4840371609
3000000,9.66851401329,11.4691741467
3000000,9.66851401329,11.4974739552
3000000,9.66851401329,11.4896178246
5000000,20.3249149323,24.4227600098
5000000,20.3249149323,24.4626848698
5000000,20.3249149323,24.4260799885
5000000,20.3249149323,24.4293298721
5000000,20.3249149323,24.434787035
5000000,20.3249149323,24.2140200138
5000000,20.3249149323,24.2224981785
5000000,20.3249149323,24.2183699608
5000000,20.3249149323,24.2382440567
5000000,20.3249149323,24.2660310268
5000000,20.3861119747,24.4227600098
5000000,20.3861119747,24.4626848698
5000000,20.3861119747,24.4260799885
5000000,20.3861119747,24.4293298721
5000000,20.3861119747,24.434787035
5000000,20.3861119747,24.2140200138
5000000,20.3861119747,24.2224981785
5000000,20.3861119747,24.2183699608
5000000,20.3861119747,24.2382440567
5000000,20.3861119747,24.2660310268
5000000,20.3514640331,24.4227600098
5000000,20.3514640331,24.4626848698
5000000,20.3514640331,24.4260799885
5000000,20.3514640331,24.4293298721
5000000,20.3514640331,24.434787035
5000000,20.3514640331,24.2140200138
5000000,20.3514640331,24.2224981785
5000000,20.3514640331,24.2183699608
5000000,20.3514640331,24.2382440567
5000000,20.3514640331,24.2660310268
5000000,20.3222751617,24.4227600098
5000000,20.3222751617,24.4626848698
5000000,20.3222751617,24.4260799885
5000000,20.3222751617,24.4293298721
5000000,20.3222751617,24.434787035
5000000,20.3222751617,24.2140200138
5000000,20.3222751617,24.2224981785
5000000,20.3222751617,24.2183699608
5000000,20.3222751617,24.2382440567
5000000,20.3222751617,24.2660310268
5000000,20.3146388531,24.4227600098
5000000,20.3146388531,24.4626848698
5000000,20.3146388531,24.4260799885
5000000,20.3146388531,24.4293298721
5000000,20.3146388531,24.434787035
5000000,20.3146388531,24.2140200138
5000000,20.3146388531,24.2224981785
5000000,20.3146388531,24.2183699608
