size,optimized,unoptimized
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
256,0.000590085983276,0.000685214996338
256,0.000590085983276,0.000562906265259
256,0.000590085983276,0.000590801239014
256,0.000590085983276,0.000633001327515
256,0.000590085983276,0.000559091567993
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
128,0.00058388710022,0.000627040863037
128,0.00058388710022,0.000675916671753
128,0.00058388710022,0.000568866729736
128,0.00058388710022,0.000607013702393
128,0.00058388710022,0.000581979751587
128,0.000579118728638,0.000627040863037
128,0.000579118728638,0.000675916671753
128,0.000579118728638,0.000568866729736
128,0.000579118728638,0.000607013702393
128,0.000579118728638,0.000581979751587
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
256,0.000574111938477,0.000685214996338
256,0.000574111938477,0.000562906265259
256,0.000574111938477,0.000590801239014
256,0.000574111938477,0.000633001327515
256,0.000574111938477,0.000559091567993
256,0.000657081604004,0.000685214996338
256,0.000657081604004,0.000562906265259
256,0.000657081604004,0.000590801239014
256,0.000657081604004,0.000633001327515
256,0.000657081604004,0.000559091567993
256,0.000580072402954,0.000685214996338
256,0.000580072402954,0.000562906265259
256,0.000580072402954,0.000590801239014
256,0.000580072402954,0.000633001327515
256,0.000580072402954,0.000559091567993
128,0.000607013702393,0.000627040863037
128,0.000607013702393,0.000675916671753
128,0.000607013702393,0.000568866729736
128,0.000607013702393,0.000607013702393
128,0.000607013702393,0.000581979751587
256,0.000630140304565,0.000685214996338
256,0.000630140304565,0.000562906265259
256,0.000630140304565,0.000590801239014
256,0.000630140304565,0.000633001327515
256,0.000630140304565,0.000559091567993
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
128,0.000636100769043,0.000627040863037
128,0.000636100769043,0.000675916671753
128,0.000636100769043,0.000568866729736
128,0.000636100769043,0.000607013702393
128,0.000636100769043,0.000581979751587
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
1,24.0,24.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
128,0.000663995742798,0.000627040863037
128,0.000663995742798,0.000675916671753
128,0.000663995742798,0.000568866729736
128,0.000663995742798,0.000607013702393
128,0.000663995742798,0.000581979751587
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
4,96.0,96.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0
8,192.0,192.0

