size,optimized,unoptimized
6,0.000906944274902,0.000792026519775
6,0.000906944274902,0.000827074050903
6,0.000906944274902,0.000779151916504
6,0.000906944274902,0.000847101211548
6,0.000906944274902,0.000761985778809
9,0.0240519046783,0.0253510475159
9,0.0240519046783,0.0254628658295
9,0.0240519046783,0.0257799625397
9,0.0240519046783,0.025496006012
9,0.0240519046783,0.0257108211517
6,0.000945806503296,0.000792026519775
6,0.000945806503296,0.000827074050903
6,0.000945806503296,0.000779151916504
6,0.000945806503296,0.000847101211548
6,0.000945806503296,0.000761985778809
10,0.243720054626,0.25484085083
10,0.243720054626,0.255276918411
10,0.243720054626,0.255591869354
10,0.243720054626,0.254601955414
10,0.243720054626,0.25453209877
7,0.00119709968567,0.00115299224854
7,0.00119709968567,0.0010449886322
7,0.00119709968567,0.00117087364197
7,0.00119709968567,0.00111198425293
7,0.00119709968567,0.00107407569885
9,0.0244538784027,0.0253510475159
9,0.0244538784027,0.0254628658295
9,0.0244538784027,0.0257799625397
9,0.0244538784027,0.025496006012
9,0.0244538784027,0.0257108211517
8,0.00326418876648,0.00342917442322
8,0.00326418876648,0.00353288650513
8,0.00326418876648,0.00340700149536
8,0.00326418876648,0.00345206260681
8,0.00326418876648,0.00342488288879
9,0.0240778923035,0.0253510475159
9,0.0240778923035,0.0254628658295
9,0.0240778923035,0.0257799625397
9,0.0240778923035,0.025496006012
9,0.0240778923035,0.0257108211517
7,0.00121092796326,0.00115299224854
7,0.00121092796326,0.0010449886322
7,0.00121092796326,0.00117087364197
7,0.00121092796326,0.00111198425293
7,0.00121092796326,0.00107407569885
10,0.242690086365,0.25484085083
10,0.242690086365,0.255276918411
10,0.242690086365,0.255591869354
10,0.242690086365,0.254601955414
10,0.242690086365,0.25453209877
10,0.243160009384,0.25484085083
10,0.243160009384,0.255276918411
10,0.243160009384,0.255591869354
10,0.243160009384,0.254601955414
10,0.243160009384,0.25453209877
8,0.00330781936646,0.00342917442322
8,0.00330781936646,0.00353288650513
8,0.00330781936646,0.00340700149536
8,0.00330781936646,0.00345206260681
8,0.00330781936646,0.00342488288879
10,0.242144107819,0.25484085083
10,0.242144107819,0.255276918411
10,0.242144107819,0.255591869354
10,0.242144107819,0.254601955414
10,0.242144107819,0.25453209877
8,0.00344300270081,0.00342917442322
8,0.00344300270081,0.00353288650513
8,0.00344300270081,0.00340700149536
8,0.00344300270081,0.00345206260681
8,0.00344300270081,0.00342488288879
7,0.00116896629333,0.00115299224854
7,0.00116896629333,0.0010449886322
7,0.00116896629333,0.00117087364197
7,0.00116896629333,0.00111198425293
7,0.00116896629333,0.00107407569885
6,0.000869989395142,0.000792026519775
6,0.000869989395142,0.000827074050903
6,0.000869989395142,0.000779151916504
6,0.000869989395142,0.000847101211548
6,0.000869989395142,0.000761985778809
7,0.00114011764526,0.00115299224854
7,0.00114011764526,0.0010449886322
7,0.00114011764526,0.00117087364197
7,0.00114011764526,0.00111198425293
7,0.00114011764526,0.00107407569885
9,0.0241720676422,0.0253510475159
9,0.0241720676422,0.0254628658295
9,0.0241720676422,0.0257799625397
9,0.0241720676422,0.025496006012
9,0.0241720676422,0.0257108211517
9,0.0243830680847,0.0253510475159
9,0.0243830680847,0.0254628658295
9,0.0243830680847,0.0257799625397
9,0.0243830680847,0.025496006012
9,0.0243830680847,0.0257108211517
10,0.242980957031,0.25484085083
10,0.242980957031,0.255276918411
10,0.242980957031,0.255591869354
10,0.242980957031,0.254601955414
10,0.242980957031,0.25453209877
8,0.00346708297729,0.00342917442322
8,0.00346708297729,0.00353288650513
8,0.00346708297729,0.00340700149536
8,0.00346708297729,0.00345206260681
8,0.00346708297729,0.00342488288879
8,0.00335717201233,0.00342917442322
8,0.00335717201233,0.00353288650513
8,0.00335717201233,0.00340700149536
8,0.00335717201233,0.00345206260681
8,0.00335717201233,0.00342488288879
6,0.000895023345947,0.000792026519775
6,0.000895023345947,0.000827074050903
6,0.000895023345947,0.000779151916504
6,0.000895023345947,0.000847101211548
6,0.000895023345947,0.000761985778809
7,0.00123596191406,0.00115299224854
7,0.00123596191406,0.0010449886322
7,0.00123596191406,0.00117087364197
7,0.00123596191406,0.00111198425293
7,0.00123596191406,0.00107407569885
6,0.00093412399292,0.000792026519775
6,0.00093412399292,0.000827074050903
6,0.00093412399292,0.000779151916504
6,0.00093412399292,0.000847101211548
6,0.00093412399292,0.000761985778809
12,35.7765030861,37.1050338745
12,35.7765030861,37.1303901672
12,35.7765030861,37.1359791756
12,35.7765030861,37.2175970078
12,35.7765030861,36.993461132
12,35.7537009716,37.1050338745
12,35.7537009716,37.1303901672
12,35.7537009716,37.1359791756
12,35.7537009716,37.2175970078
12,35.7537009716,36.993461132
12,35.7960288525,37.1050338745
12,35.7960288525,37.1303901672
12,35.7960288525,37.1359791756
12,35.7960288525,37.2175970078
12,35.7960288525,36.993461132
12,35.7144730091,37.1050338745
12,35.7144730091,37.1303901672
12,35.7144730091,37.1359791756
12,35.7144730091,37.2175970078
12,35.7144730091,36.993461132
12,35.6831059456,37.1050338745
12,35.6831059456,37.1303901672
12,35.6831059456,37.1359791756
12,35.6831059456,37.2175970078
12,35.6831059456,36.993461132

