prefix,size,optimized,unoptimized
is_prime,1048576,128.849657965,130.184665012
is_prime,262144,9.14020323753,9.32987246513
is_prime,65536,0.664774131775,0.672994422913
is_prime,131072,2.43661212921,2.51209387779
is_prime,524288,34.2268993855,34.4229490757

block_test,5000,0.00188298225403,0.00177459716797
block_test,15000,0.193489933014,0.159209012985
block_test,12500,0.0352222442627,0.00376443862915
block_test,7500,0.00430979728699,0.0035719871521
block_test,10000,0.0332705974579,0.0211465835571

blocked,900,4.80180845261,4.78491225243
blocked,1000,6.58722114563,6.55117201805
blocked,1100,8.82222900391,8.81419014931
blocked,1200,11.6527374268,11.667434597
blocked,1300,14.7146343708,14.6813476086
blocked,1400,19.1317456245,19.0994775772

factor,6000000,26.5437427521,26.4360735893
factor,5000000,20.1886936188,20.1276397705
factor,2000000,5.20968055725,5.21423978806
factor,3000000,9.48353714943,9.46074500084
factor,4000000,14.5154648781,14.4868148327

bubble,100000,12.1234175205,12.3688460827
bubble,150000,27.4302659512,28.0060673237
bubble,250000,76.4220161438,78.0857505322
bubble,200000,48.9136001587,49.9715318203
bubble,50000,2.9081099987,2.97491869926

quicksort,50000,0.775933790207,0.791165447235
quicksort,100000,3.00524544716,2.91864900589
quicksort,250000,15.6584340096,15.4404588699
quicksort,200000,10.6582498074,10.896831131
quicksort,150000,6.47879853249,6.83944911957

kmeans,100000,0.106390762329,0.109765577316
kmeans,1000000,0.969106705983,0.979423967997
kmeans,10000,0.0161166667938,0.0151611804962

permutations,8,0.00231494903564,0.00239639282227
permutations,9,0.00671358108521,0.00547580718994
permutations,10,0.0425895690918,0.0408189296722
permutations,11,0.421252727509,0.420470476151
permutations,12,5.04000196457,5.03241662979

mandlebrot_seq,1250,2.81306023598,3.28044753075
mandlebrot_seq,1000,2.26940803528,1.18596892357
mandlebrot_seq,2250,11.3343343735,11.107222414
mandlebrot_seq,2000,7.83824901581,8.8600335598
mandlebrot_seq,1750,6.94791851044,7.37845883369
mandlebrot_seq,1500,4.82963552475,5.18694877625

fft,8192,205.837351608,201.445186949
fft,256,4.36142363548,4.31197023392
fft,128,1.9760910511,1.95611743927
fft,4096,96.2000848293,94.4773673534
fft,1024,20.6950804234,20.409946394

huffman_priority_queue,1000000,4.35863342285,4.35362100601
huffman_priority_queue,100000,0.440320825577,0.440535163879
huffman_priority_queue,100,0.00266356468201,0.00212979316711
huffman_priority_queue,1000,0.0105448246002,0.00848817825317
huffman_priority_queue,10000,0.0473104476929,0.0476118087769

huffman,1000000,18.2316320896,18.2451411963
huffman,100000,1.82617361546,1.8253018856
huffman,100,0.00835204124451,0.00539951324463
huffman,1000,0.0254348516464,0.0243042469025
huffman,10000,0.186491107941,0.186948204041

combinations,16,34.084147644,30.0534993649
combinations,17,137.35509963,120.279434443
combinations,13,0.525818586349,0.464387559891
combinations,14,2.10749645233,1.8682970047
combinations,15,8.46258945465,7.4317527771

conjugate_transpose,2048,0.00118479728699,0.00127720832825
conjugate_transpose,512,0.00110921859741,0.00121693611145
conjugate_transpose,1024,0.00120820999146,0.00117402076721
conjugate_transpose,16,0.00110936164856,0.000972604751587

cholesky,786432,118.662919807,114.02072463
cholesky,262144,37.5428812504,38.0522547722
cholesky,524288,72.5275836945,67.2411483288
cholesky,65536,11.2916795731,11.0010810852
cholesky,1310720,186.089590788,174.564041328

deconvolution,256,0.348532152176,0.30936794281
deconvolution,512,0.67180480957,0.570998191833
deconvolution,2048,2.31471319199,2.48108382225
deconvolution,1024,1.19697284698,1.49804697037

euler_method,65536,0.00143518447876,0.00123543739319
euler_method,32768,0.00155344009399,0.00141344070435
euler_method,98304,0.00195660591125,0.00173144340515
euler_method,131072,0.00179243087769,0.00144896507263
euler_method,16384,0.00151739120483,0.0013831615448

nbody,20000000,0.00123858451843,0.00112380981445
nbody,40000000,0.00123858451843,0.00130486488342
nbody,50000000,0.00131464004517,0.00141224861145
nbody,30000000,0.00110764503479,0.00133299827576
nbody,10000000,0.00129060745239,0.00137677192688

lucas,150000,13.5022116661,13.4974453449
lucas,125000,9.52982320786,9.52685022354
lucas,175000,18.0940869808,18.094647789
lucas,100000,6.23906116486,6.22864422798
lucas,75000,3.60520834923,3.59665737152

aes,250000,0.4199696064,0.421996593475
aes,750000,1.26392836571,1.26816039085
aes,1000000,1.67507443428,1.69213962555
aes,1250000,2.08545365334,2.10907616615
aes,500000,0.836598014832,0.846721744537

