prefix,size,optimized,unoptimized
is_prime,1048576,129.907837534,131.102483797
is_prime,131072,2.44377260208,2.48715000153
is_prime,524288,34.597033596,34.737804842
is_prime,65536,0.676364040375,0.677722787857
is_prime,262144,9.29671568871,9.43249759674

blocked,900,4.7869656086,4.74603176117
blocked,1000,6.5775349617,6.74428472519
blocked,1100,8.77578897476,8.95029501915
blocked,1200,12.287890625,11.7399347782
blocked,1300,15.070172596,15.0377330303
blocked,1400,20.4093404293,20.3210561752

block_test,10000,0.0600329875946,0.0369364738464
block_test,15000,0.174436855316,0.155809831619
block_test,5000,0.0155794143677,0.173491764069
block_test,12500,0.379994249344,0.104821062088
block_test,7500,0.00370254516602,0.00800795555115

factor,2000000,5.34315795898,5.34433465004
factor,4000000,14.7003836632,14.5922772408
factor,6000000,27.1305406094,26.953371191
factor,5000000,20.3922147751,20.2758459568
factor,3000000,9.58453636169,9.56905755997

bubble,100000,12.2689763069,12.5932467937
bubble,250000,78.3689457893,80.0529961586
bubble,50000,3.03242015839,3.10240154266
bubble,200000,50.009068346,51.192636013
bubble,150000,27.9252573967,28.5935618401

quicksort,100000,3.49110641479,3.06816592216
quicksort,150000,6.28542017937,6.76615562439
quicksort,250000,15.910865593,15.8889215946
quicksort,200000,10.9158020496,11.0481479645
quicksort,50000,0.838546419144,1.1338727951

kmeans,1000000,0.959398905436,0.96444644928
kmeans,100000,0.108633184433,0.107932806015
kmeans,10000,0.0158190250397,0.0161239624023

permutations,8,0.00241808891296,0.00213289260864
permutations,9,0.00872416496277,0.00994400978088
permutations,10,0.0423067569733,0.0446860790253
permutations,11,0.419302988052,0.420174980164
permutations,12,5.00620756149,5.00513534546

mandlebrot_seq,1250,4.89455780983,4.07563295364
mandlebrot_seq,1000,2.8684820652,4.03646416664
mandlebrot_seq,2250,10.0623071671,11.1283082008
mandlebrot_seq,2000,9.57284684181,12.7107119083
mandlebrot_seq,1750,7.28342351913,9.17013778687
mandlebrot_seq,1500,5.7390212059,7.78683242798

fft,1024,20.5633111477,20.2817750454
fft,4096,95.4732048512,93.8165299892
fft,8192,204.087869787,199.981805992
fft,128,1.9649512291,1.94809336662
fft,256,4.33797659874,4.28051228523

huffman_priority_queue,100000,0.4358710289,0.436462783813
huffman_priority_queue,100,0.00307898521423,0.00269503593445
huffman_priority_queue,1000,0.0106209754944,0.00832877159119
huffman_priority_queue,10000,0.0488722324371,0.0464655399323
huffman_priority_queue,1000000,4.33803544044,4.31913132668

huffman,100000,1.81189632416,1.81437585354
huffman,100,0.00659046173096,0.00731253623962
huffman,1000,0.0249580144882,0.0232894897461
huffman,10000,0.189295887947,0.187232160568
huffman,1000000,18.142266798,18.1343120575

combinations,13,0.523762989044,0.463451147079
combinations,14,2.09710478783,1.85517139435
combinations,15,8.42583580017,7.40338840485
combinations,16,33.9259025574,29.9619210243
combinations,17,136.840072441,119.906169367

conjugate_transpose,1024,0.001158618927,0.00133323669434
conjugate_transpose,2048,0.00118355751038,0.00125527381897
conjugate_transpose,512,0.000946569442749,0.00105299949646
conjugate_transpose,16,0.00139036178589,0.00144267082214

cholesky,1310720,187.775947189,250.769117594
cholesky,262144,51.576602459,49.0930387497
cholesky,65536,9.36513066292,10.0704302311
cholesky,786432,130.56222682,113.949995995
cholesky,524288,72.4333067894,100.961803246

deconvolution,1024,1.34333086014,1.18301620483
deconvolution,2048,2.78543863297,2.68934617043
deconvolution,256,0.286867189407,0.292065763474
deconvolution,512,0.565548706055,0.707780408859

euler_method,131072,0.00161938667297,0.00148696899414
euler_method,98304,0.00163726806641,0.00154480934143
euler_method,16384,0.00156774520874,0.001575756073
euler_method,65536,0.000970792770386,0.00115613937378
euler_method,32768,0.00130543708801,0.00133361816406

nbody,10000000,0.00120286941528,0.00133213996887
nbody,30000000,0.0011293888092,0.00125036239624
nbody,50000000,0.00143218040466,0.00134449005127
nbody,20000000,0.000966787338257,0.00113263130188
nbody,40000000,0.00125465393066,0.00133318901062

lucas,100000,6.20134224892,6.1958176136
lucas,125000,9.47872953415,9.47532820702
lucas,150000,13.4540575504,13.4410180092
lucas,175000,18.0032452106,18.0259648323
lucas,75000,3.5787156105,3.58955392838

aes,1000000,1.65229930878,1.67159337997
aes,500000,0.828789424896,0.835921144485
aes,250000,0.418641281128,0.419249200821
aes,750000,1.23927841187,1.25409941673
aes,1250000,2.07219462395,2.09342136383

