prefix, average diff
is_prime,1.00974765856
blocked,1.00178412266
block_test,0.962231248869
factor,0.994907773962
bubble,1.0227041462
quicksort,0.99485342324
kmeans,0.956350815264
permutations,0.989069973903
mandlebrot_seq,1.26650843803
fft,0.98554727742
huffman_priority_queue,0.970996917504
huffman,0.924055018942
combinations,0.881911149686
conjugate_transpose,1.01842449103
cholesky,0.887612522923
deconvolution,1.04363264332
euler_method,0.966895642712
nbody,1.02134415706
lucas,1.00075760025
aes,1.00814486244
