prefix,size,optimized,unoptimized
is_prime,1048576,131.47086277,132.462334681
is_prime,131072,2.49192910194,2.50840072632
is_prime,524288,34.8439471722,35.205328846
is_prime,65536,0.678155422211,0.680175113678
is_prime,262144,9.32811059952,9.49475975037

blocked,900,4.98990945816,4.90123066902
blocked,1000,7.1158080101,7.01579618454
blocked,1100,9.11184835434,9.23547635078
blocked,1200,12.0026296616,11.9577963352
blocked,1300,15.0520608902,15.0832456112
blocked,1400,19.5383872986,19.5516134262

block_test,10000,0.207784605026,0.224436664581
block_test,15000,0.108689594269,0.355522632599
block_test,5000,0.113686418533,0.14257774353
block_test,12500,0.353599596024,0.16085896492
block_test,7500,0.109420156479,0.105287218094

factor,2000000,5.33965439796,5.31349701881
factor,4000000,14.78624897,14.7517873287
factor,6000000,26.9555037975,26.8305501938
factor,5000000,20.5863292217,20.5092271805
factor,3000000,9.6681178093,9.64092097282

bubble,100000,12.3418310165,12.6305927277
bubble,250000,77.9528864384,79.6764976025
bubble,50000,2.97637543678,3.04002947807
bubble,200000,49.8809739113,50.9820055962
bubble,150000,27.9706757545,28.5656100273

quicksort,100000,3.47019224167,3.40407876968
quicksort,150000,6.94898962975,6.92914719582
quicksort,250000,16.5562491894,16.1521093369
quicksort,200000,11.7241735458,11.330229187
quicksort,50000,1.21402654648,1.09016485214

kmeans,1000000,0.998314078649,0.996754662196
kmeans,100000,0.111101007462,0.114290618896
kmeans,10000,0.0150745868683,0.0155371189117

permutations,8,0.00206274986267,0.00208535194397
permutations,9,0.00631313323975,0.0086254119873
permutations,10,0.0446561813354,0.0419947624207
permutations,11,0.43212480545,0.436573600769
permutations,12,5.15010561943,5.14596281052

mandlebrot_seq,1250,3.24040036201,3.93847761154
mandlebrot_seq,1000,2.90857663155,2.45655164719
mandlebrot_seq,2250,11.9463596344,11.3161209583
mandlebrot_seq,2000,8.79597787857,9.65973639488
mandlebrot_seq,1750,8.11447319984,7.75624475479
mandlebrot_seq,1500,5.84021577835,5.15280880928

fft,1024,21.0796705246,20.7665462017
fft,4096,98.1098112583,96.3032086372
fft,8192,210.086660576,206.222168779
fft,128,2.02273578644,1.99695696831
fft,256,4.44422597885,4.39197120667

huffman_priority_queue,100000,0.455414438248,0.450517034531
huffman_priority_queue,100,0.00197978019714,0.0019428730011
huffman_priority_queue,1000,0.00797753334045,0.00912022590637
huffman_priority_queue,10000,0.0518578052521,0.0513457775116
huffman_priority_queue,1000000,4.46794843674,4.44790158272

huffman,100000,1.87451324463,1.87072043419
huffman,100,0.00619165897369,0.00861625671387
huffman,1000,0.0247269392014,0.025342130661
huffman,10000,0.197364807129,0.192657351494
huffman,1000000,18.6479521036,18.6424513817

combinations,13,0.543742990494,0.480111026764
combinations,14,2.14206466675,1.90605678558
combinations,15,8.62260818481,7.56246619225
combinations,16,34.6971926212,30.6589735985
combinations,17,139.804256344,122.97947998

conjugate_transpose,1024,0.00122046470642,0.00127458572388
conjugate_transpose,2048,0.000910377502441,0.00104522705078
conjugate_transpose,512,0.00115370750427,0.00125255584717
conjugate_transpose,16,0.00102200508118,0.00120296478271

cholesky,1310720,233.488906813,238.10397501
cholesky,262144,51.3247946262,52.8407485485
cholesky,65536,14.3977400303,15.2963576317
cholesky,786432,138.453487206,143.730291414
cholesky,524288,100.022381067,97.1841575623

deconvolution,1024,1.30360279083,1.2971306324
deconvolution,2048,2.83195977211,2.93898601532
deconvolution,256,0.289537000656,0.291013288498
deconvolution,512,0.633436250687,0.610928821564

euler_method,131072,0.0010449886322,0.000841188430786
euler_method,98304,0.000875186920166,0.000839519500732
euler_method,16384,0.000894594192505,0.000811862945557
euler_method,65536,0.000868606567383,0.0008225440979
euler_method,32768,0.00100598335266,0.000924396514893

nbody,10000000,0.000624370574951,0.000635480880737
nbody,30000000,0.000641250610352,0.000633192062378
nbody,50000000,0.00062403678894,0.000618171691895
nbody,20000000,0.000660562515259,0.000633811950684
nbody,40000000,0.000615167617798,0.000617408752441

lucas,100000,6.44723157883,6.42833323479
lucas,125000,9.8207259655,9.83326878548
lucas,150000,13.9408581734,13.9069588184
lucas,175000,18.6412157536,18.6551249981
lucas,75000,3.70899319649,3.71965003014

aes,1000000,1.70025801659,1.724031353
aes,500000,0.857380962372,0.859992980957
aes,250000,0.429541349411,0.439267206192
aes,750000,1.28587036133,1.29168796539
aes,1250000,2.12303576469,2.1482114315

