prefix,size,optimized,unoptimized
is_prime,1048576,131.564034081,132.404775763
is_prime,131072,2.544541502,2.49722571373
is_prime,524288,34.8201818466,35.2288651466
is_prime,65536,0.695761823654,0.67943778038
is_prime,262144,9.29666862488,9.40709180832

blocked,900,4.93550658226,4.99816174507
blocked,1000,6.8438138485,6.94847955704
blocked,1100,9.20522084236,9.2428396225
blocked,1200,12.1339096069,11.9435055733
blocked,1300,15.192153883,15.0653328419
blocked,1400,19.5393486023,19.5601726055

block_test,10000,0.0838441371918,0.30815205574
block_test,15000,0.0479810237885,0.022962808609
block_test,5000,0.110803604126,0.111669206619
block_test,12500,0.0754107952118,0.12380156517
block_test,7500,0.142161798477,0.221277999878

factor,2000000,5.31955914497,5.30615391731
factor,3000000,9.6633872509,9.62385501862
factor,6000000,26.9353972435,26.792668581
factor,5000000,20.5704944134,20.4854482651
factor,4000000,14.7750388145,14.7311230659

bubble,100000,12.318046236,12.5882407665
bubble,150000,27.9734884262,28.5753788471
bubble,250000,77.9312448502,79.7142320633
bubble,200000,49.8685639858,51.0232526302
bubble,50000,2.97027277946,3.0307343483

quicksort,100000,3.25534334183,3.29353380203
quicksort,150000,6.87019386292,7.16201720238
quicksort,250000,16.4093122005,16.1050308228
quicksort,200000,11.3464241505,11.84638381
quicksort,50000,1.31402840614,1.15683655739

kmeans,1000000,0.99137934049,0.997768735886
kmeans,100000,0.118324232101,0.137160634995
kmeans,10000,0.0170252323151,0.0152110099792

permutations,8,0.00159850120544,0.0017749786377
permutations,9,0.00605502128601,0.00642499923706
permutations,10,0.0423295021057,0.0464828491211
permutations,11,0.435803794861,0.437787103653
permutations,12,5.14804077148,5.11040706635

mandlebrot_seq,1250,3.88677697182,4.22296161652
mandlebrot_seq,1000,2.70131287575,1.93731584549
mandlebrot_seq,2250,11.645980978,11.5610944271
mandlebrot_seq,2000,10.2270030022,10.4717048168
mandlebrot_seq,1750,7.61393322945,7.85702137947
mandlebrot_seq,1500,5.54708600044,4.80355687141

fft,1024,21.08842659,20.7463591099
fft,128,2.00175671577,1.9811047554
fft,8192,210.978261185,206.800278664
fft,4096,98.1795288563,96.3756773949
fft,256,4.42211031914,4.37173781395

huffman_priority_queue,1000,0.00794682502747,0.00830597877502
huffman_priority_queue,10000,0.0475742816925,0.0498975753784
huffman_priority_queue,100000,0.449496841431,0.454308223724
huffman_priority_queue,100,0.00249919891357,0.00265226364136
huffman_priority_queue,1000000,4.46354084015,4.45671072006

huffman,1000,0.0252263307571,0.0234287023544
huffman,10000,0.190531158447,0.191791582108
huffman,100000,1.86992492676,1.86880140305
huffman,100,0.00615532398224,0.00542685985565
huffman,1000000,18.6647800207,18.6693353653

combinations,16,34.6948177814,30.6508957386
combinations,17,139.921097422,122.588545036
combinations,13,0.537904024124,0.48339881897
combinations,14,2.17073554993,1.91297574043
combinations,15,8.62256302834,7.55698843002

conjugate_transpose,1024,0.00109877586365,0.00116081237793
conjugate_transpose,16,0.00110321044922,0.00100064277649
conjugate_transpose,2048,0.00125737190247,0.00120482444763
conjugate_transpose,512,0.00104117393494,0.00107355117798

cholesky,1310720,239.569245386,238.454561615
cholesky,262144,44.3394741535,47.0886499405
cholesky,65536,12.6522350311,12.3004916191
cholesky,786432,148.797701836,139.598494625
cholesky,524288,94.6240375042,91.9608125687

deconvolution,1024,1.34197278023,1.3684659481
deconvolution,2048,2.61000146866,2.55757660866
deconvolution,256,0.326944828033,0.294597959518
deconvolution,512,0.689837789536,0.641112184525

euler_method,131072,0.00085768699646,0.000794219970703
euler_method,16384,0.000891590118408,0.000785207748413
euler_method,65536,0.000965595245361,0.000804567337036
euler_method,98304,0.000918006896973,0.000878143310547
euler_method,32768,0.000939655303955,0.00085506439209

nbody,10000000,0.000711393356323,0.000619983673096
nbody,20000000,0.0007737159729,0.000622177124023
nbody,30000000,0.000672769546509,0.00065541267395
nbody,40000000,0.000634431838989,0.000636386871338
nbody,50000000,0.000622129440308,0.000642204284668

lucas,100000,6.35740060806,6.3614136219
lucas,125000,9.70064959526,9.6844897747
lucas,175000,18.4491445541,18.4411645889
lucas,150000,13.7774013996,13.7486492157
lucas,75000,3.70822401047,3.70848779678

aes,1000000,1.7273982048,1.73545064926
aes,1250000,2.13120141029,2.14962701797
aes,250000,0.435292816162,0.432076978683
aes,750000,1.27795071602,1.29383325577
aes,500000,0.857964420319,0.865702390671

