prefix,size,optimized,unoptimized
is_prime,1048576,131.535450935,132.464231825
is_prime,131072,2.53665485382,2.53472900391
is_prime,524288,34.8354196072,35.1690165043
is_prime,65536,0.700949048996,0.759538936615
is_prime,262144,9.2687787056,9.39549694061

blocked,900,4.95658917427,4.94551544189
blocked,1000,6.9318297863,7.03950738907
blocked,1100,9.28795681,9.2800359726
blocked,1200,11.9678570271,11.9531336308
blocked,1300,15.1835857391,15.3126420021
blocked,1400,19.5848198414,19.5256747723

block_test,10000,0.277921009064,0.126490831375
block_test,15000,0.0927992343903,0.0688125610352
block_test,5000,0.0815568447113,0.00224552154541
block_test,12500,0.0740032672882,0.126111602783
block_test,7500,0.0418044567108,0.0735459804535

factor,2000000,5.33245797157,5.30404520035
factor,3000000,9.66396756172,9.62763557434
factor,6000000,26.9626320362,26.8088234425
factor,5000000,20.5674433708,20.4783587933
factor,4000000,14.7587168217,14.7146188736

bubble,100000,12.3592184067,12.6019985676
bubble,150000,27.9914140224,28.5561853886
bubble,250000,77.8960177898,79.6405330181
bubble,200000,49.8944687366,51.0109894276
bubble,50000,2.97184157372,3.03901638985

quicksort,100000,3.58304448128,3.5914999485
quicksort,150000,6.8925424099,6.87397780418
quicksort,250000,16.2966837406,16.1448750496
quicksort,200000,11.5012335777,11.2455742359
quicksort,50000,1.07060961723,0.993706989288

kmeans,1000000,0.991955089569,0.997981675466
kmeans,100000,0.112537574768,0.110127019882
kmeans,10000,0.0149421691895,0.016338968277

permutations,8,0.00231490135193,0.00214967727661
permutations,9,0.00640072822571,0.0092978477478
permutations,10,0.0429165363312,0.044725561142
permutations,11,0.431843233109,0.437629461288
permutations,12,5.22068548203,5.14560060501

mandlebrot_seq,1250,3.91511602402,4.18672099113
mandlebrot_seq,1000,2.59549760818,2.39660658836
mandlebrot_seq,2250,11.7041568279,12.320704174
mandlebrot_seq,2000,10.9030191898,10.0218921661
mandlebrot_seq,1750,7.27088279724,7.39821100235
mandlebrot_seq,1500,4.48733224869,4.80453419685

fft,1024,21.0850097656,20.7834785938
fft,128,2.01554498672,1.98963661194
fft,8192,210.86005621,207.007671213
fft,4096,98.1881101608,96.4781404495
fft,256,4.44557261467,4.39195613861

huffman_priority_queue,1000,0.00756015777588,0.00878286361694
huffman_priority_queue,10000,0.0454346179962,0.049244260788
huffman_priority_queue,100000,0.447794055939,0.452269601822
huffman_priority_queue,100,0.00246958732605,0.00250682830811
huffman_priority_queue,1000000,4.46096897125,4.45681962967

huffman,1000,0.0224896192551,0.0239506244659
huffman,10000,0.189432787895,0.191538095474
huffman,100000,1.86784045696,1.87003619671
huffman,100,0.00547149181366,0.00702264308929
huffman,1000000,18.6618369579,18.6298139334

combinations,16,34.6608694077,30.6272111893
combinations,17,139.872985983,122.517483807
combinations,13,0.536384820938,0.479599618912
combinations,14,2.14440174103,1.90491428375
combinations,15,8.61342964172,7.55241270065

conjugate_transpose,1024,0.000949430465698,0.00669598579407
conjugate_transpose,16,0.000957441329956,0.00119752883911
conjugate_transpose,2048,0.00116982460022,0.00104198455811
conjugate_transpose,512,0.00112175941467,0.0011646270752

cholesky,1310720,238.620357847,232.850730228
cholesky,262144,49.59617939,44.4704063416
cholesky,65536,11.85447402,11.1672657967
cholesky,786432,139.986440611,145.049592733
cholesky,524288,99.6236222267,94.2340444088

deconvolution,1024,1.44026689529,1.66988039017
deconvolution,2048,2.58747377396,2.7962471962
deconvolution,256,0.29714717865,0.292128419876
deconvolution,512,0.614194822311,0.61276679039

euler_method,131072,0.00102982521057,0.000824451446533
euler_method,16384,0.000929164886475,0.000796175003052
euler_method,65536,0.000919628143311,0.000847625732422
euler_method,98304,0.000957059860229,0.00079026222229
euler_method,32768,0.000907039642334,0.00083794593811

nbody,10000000,0.000625610351562,0.000624227523804
nbody,20000000,0.00060658454895,0.000634765625
nbody,30000000,0.000613021850586,0.000629377365112
nbody,40000000,0.000716257095337,0.00101065635681
nbody,50000000,0.000579023361206,0.000845384597778

lucas,100000,6.35215902328,6.36486282349
lucas,125000,9.71620187759,9.70666079521
lucas,175000,18.4860248089,18.4267362118
lucas,150000,13.7560674191,13.7711387634
lucas,75000,3.68209395409,3.66895594597

aes,1000000,1.71207838058,1.72363743782
aes,1250000,2.13152322769,2.15608549118
aes,250000,0.433099412918,0.433577823639
aes,750000,1.27934813499,1.295814991
aes,500000,0.857884025574,0.864170026779

